City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Kuching,MY,1.55,110.3333,75.2,100,40,2.35,heavy intensity rain
117,Hilo,US,19.7297,-155.09,78.8,53,75,5.75,broken clouds
118,Kaeo,NZ,-35.1,173.7833,70.0,76,72,7.0,broken clouds
119,Bluff,NZ,-46.6,168.3333,61.23,70,0,7.07,clear sky
120,Tiksi,RU,71.6872,128.8694,-26.0,84,100,4.85,overcast clouds
121,Los Llanos De Aridane,ES,28.6585,-17.9182,60.8,72,0,12.66,clear sky
122,Luderitz,NA,-26.6481,15.1594,68.13,66,0,21.56,clear sky
123,Kolosovka,RU,56.4678,73.611,27.91,98,100,18.32,snow
124,Bubaque,GW,11.2833,-15.8333,79.39,53,26,21.94,scattered clouds
125,Sangin,AF,32.0728,64.8359,50.79,40,82,3.11,broken clouds
126,East London,ZA,-33.0153,27.9116,74.55,87,74,14.99,light rain
127,Vanimo,PG,-2.6741,141.3028,82.29,78,100,4.27,overcast clouds
128,Fort Nelson,CA,58.8053,-122.7002,-20.2,76,1,2.39,clear sky
129,Abbeville,FR,50.1,1.8333,37.0,82,100,10.18,overcast clouds
130,Portales,US,34.1862,-103.3344,48.2,13,1,8.05,clear sky
131,Taozhuang,CN,34.85,117.3333,44.44,59,1,13.13,clear sky
132,Linxia,CN,35.6003,103.2064,30.29,70,100,0.96,overcast clouds
133,Hithadhoo,MV,-0.6,73.0833,81.34,76,0,13.38,clear sky
134,Fajardo,PR,18.3258,-65.6524,78.8,73,20,9.22,few clouds
135,Dakar,SN,14.6937,-17.4441,64.4,77,89,13.8,overcast clouds
136,Fortuna,US,40.5982,-124.1573,50.0,93,40,11.5,scattered clouds
137,Palmer,US,42.1584,-72.3287,27.0,54,20,6.02,few clouds
138,Arroyohondo,CO,10.2522,-75.0198,80.6,78,0,8.05,clear sky
139,Saint Anthony,US,45.0205,-93.218,-5.8,59,1,13.8,clear sky
140,Avarua,CK,-21.2078,-159.775,86.0,66,35,10.36,scattered clouds
141,Maniitsoq,GL,65.4167,-52.9,29.68,80,0,20.85,clear sky
142,Dire Dawa,ET,9.5931,41.8661,57.76,80,18,2.42,few clouds
143,Wodonga,AU,-36.1167,146.8833,79.0,57,0,5.75,clear sky
144,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.88,93,100,12.88,moderate rain
145,Tartus,SY,34.889,35.8866,55.4,76,0,9.22,clear sky
146,Arraial Do Cabo,BR,-22.9661,-42.0278,75.34,83,100,5.82,moderate rain
147,Torbay,CA,47.6666,-52.7314,44.01,93,75,24.16,light rain
148,Sibolga,ID,1.7427,98.7792,78.62,72,50,2.75,scattered clouds
149,Mawlaik,MM,23.6333,94.4167,57.24,61,0,1.77,clear sky
150,Erzin,TR,36.9559,36.2,53.01,92,5,4.0,clear sky
151,Tijara,IN,27.9333,76.85,49.21,50,0,5.35,clear sky
152,Dauriya,RU,49.9333,116.8667,-12.48,87,100,3.18,overcast clouds
153,Port Macquarie,AU,-31.4333,152.9167,84.99,50,100,1.99,overcast clouds
154,Agadir,MA,30.4202,-9.5982,51.8,87,20,12.66,few clouds
155,Bathsheba,BB,13.2167,-59.5167,77.0,73,20,11.5,few clouds
156,Talavera De La Reina,ES,39.9635,-4.8308,45.55,90,54,2.46,broken clouds
157,Poum,NC,-20.2333,164.0167,79.99,68,0,4.83,clear sky
158,Deputatskiy,RU,69.3,139.9,-32.48,84,4,1.9,clear sky
159,Alice Springs,AU,-23.7,133.8833,87.01,26,8,14.97,clear sky
160,Jalu,LY,29.0331,21.5482,58.44,41,0,8.52,clear sky
161,Mount Gambier,AU,-37.8333,140.7667,62.6,59,90,13.8,overcast clouds
162,Przhevalskoye,RU,55.5093,31.8482,1.38,94,90,6.64,overcast clouds
163,Cabo San Lucas,MX,22.8909,-109.9124,70.0,60,20,8.05,few clouds
164,Kandrian,PG,-6.2167,149.55,88.07,63,69,8.72,broken clouds
165,Punta Alta,AR,-38.8759,-62.0736,66.76,73,7,23.69,clear sky
166,Taksimo,RU,56.3444,114.8794,-14.44,77,30,0.58,scattered clouds
167,Surt,LY,31.2089,16.5887,66.43,35,99,16.49,overcast clouds
168,Nago,JP,26.5881,127.9761,69.8,88,40,6.91,scattered clouds
169,Teya,RU,60.3778,92.6267,22.33,95,98,7.85,overcast clouds
