City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Sapele,NG,2021-02-06 01:05:17,5.8941,5.6767,80.13,86,38,3.47
135,Ahipara,NZ,2021-02-06 00:59:23,-35.1667,173.1667,69.66,69,100,2.98
136,Cururupu,BR,2021-02-06 01:05:17,-1.8283,-44.8683,75.0,86,3,3.98
137,Qarqin,AF,2021-02-06 01:05:17,37.4185,66.0436,56.89,32,5,27.16
138,Port Blair,IN,2021-02-06 00:59:42,11.6667,92.75,79.11,74,0,8.19
139,Byron Bay,AU,2021-02-06 01:05:17,-28.65,153.6167,80.6,69,75,6.91
140,Naze,JP,2021-02-06 00:58:35,28.3667,129.4833,69.8,64,20,16.11
141,Atuona,PF,2021-02-06 00:57:10,-9.8,-139.0333,79.45,81,40,17.83
142,Enshi,CN,2021-02-06 01:05:18,30.3,109.4833,48.67,78,14,0.22
143,Iqaluit,CA,2021-02-06 00:56:52,63.7506,-68.5145,23.0,86,75,24.16
144,Hithadhoo,MV,2021-02-06 00:57:19,-0.6,73.0833,81.34,81,100,16.08
145,Gazimurskiy Zavod,RU,2021-02-06 01:05:18,51.5461,118.3266,-11.51,86,2,2.19
146,Omboue,GA,2021-02-06 00:59:17,-1.5746,9.2618,78.87,89,100,3.76
147,Katsuura,JP,2021-02-06 00:57:05,35.1333,140.3,52.0,49,20,3.44
148,Riyadh,SA,2021-02-06 00:55:47,24.6877,46.7219,68.0,32,100,14.97
149,San Cristobal,VE,2021-02-06 00:57:45,7.7669,-72.225,67.73,85,100,0.98
150,Gasan,PH,2021-02-06 01:05:18,13.3237,121.8467,75.0,93,34,8.01
151,Longyearbyen,SJ,2021-02-06 00:57:10,78.2186,15.6401,28.4,69,75,16.11
152,Pedro Ii,BR,2021-02-06 01:05:19,-4.4247,-41.4586,71.11,67,48,3.53
153,Saint-Augustin,CA,2021-02-06 01:05:19,51.226,-58.6502,29.19,96,87,10.47
154,Taltal,CL,2021-02-06 00:59:24,-25.4,-70.4833,63.52,79,30,1.57
155,Mareeba,AU,2021-02-06 01:05:19,-17.0,145.4333,86.0,79,94,5.01
156,Porbandar,IN,2021-02-06 01:03:17,21.6422,69.6093,62.96,44,0,14.61
157,Ust-Maya,RU,2021-02-06 01:00:18,60.4167,134.5333,-25.92,84,100,0.65
158,Vega De Alatorre,MX,2021-02-06 01:05:19,20.0333,-96.6333,70.83,85,2,4.81
159,Tselinnoye,RU,2021-02-06 01:05:19,53.0833,85.6667,25.18,98,88,7.61
160,Batemans Bay,AU,2021-02-06 00:59:31,-35.7167,150.1833,71.01,92,85,15.01
161,Ponta Do Sol,PT,2021-02-06 00:59:42,32.6667,-17.1,51.01,69,52,3.0
162,Isangel,VU,2021-02-06 00:59:18,-19.55,169.2667,86.0,70,20,3.44
163,Abbeville,FR,2021-02-06 01:00:32,50.1,1.8333,44.01,76,100,3.49
164,Poum,NC,2021-02-06 00:59:33,-20.2333,164.0167,79.86,71,11,8.16
165,Auki,SB,2021-02-06 01:05:20,-8.7676,160.7034,85.66,64,83,10.0
166,Estelle,US,2021-02-06 01:05:20,29.8458,-90.1067,51.8,62,90,9.22
167,Dikson,RU,2021-02-06 00:59:13,73.5069,80.5464,-30.66,84,6,11.27
168,Bantry,IE,2021-02-06 01:05:20,51.6833,-9.45,41.0,93,75,5.75
169,Semnan,IR,2021-02-06 01:05:20,35.5729,53.3971,49.46,55,100,0.85
170,Tiznit,MA,2021-02-06 00:59:42,29.5833,-9.5,51.94,67,99,4.88
171,Waddan,LY,2021-02-06 00:59:13,29.1614,16.139,60.17,34,100,7.47
172,Tuktoyaktuk,CA,2021-02-06 00:59:20,69.4541,-133.0374,-31.0,75,75,10.36
173,Ilulissat,GL,2021-02-06 00:59:16,69.2167,-51.1,10.4,31,98,12.66
174,Koygorodok,RU,2021-02-06 01:05:21,60.445,50.9968,15.3,96,100,11.3
175,Tevriz,RU,2021-02-06 01:02:32,57.509,72.4042,34.63,98,100,7.87
176,Saldanha,ZA,2021-02-06 00:58:24,-33.0117,17.9442,62.6,82,0,10.36
177,Linxi,CN,2021-02-06 01:05:21,39.7,118.4333,40.28,62,0,4.45
178,Retz,AT,2021-02-06 01:05:21,48.7494,15.9624,37.0,91,100,3.42
179,Santa Maria,BR,2021-02-06 01:05:15,-29.6842,-53.8069,68.0,77,0,2.3
180,Teodoro Sampaio,BR,2021-02-06 01:05:21,-22.5325,-52.1675,69.12,85,100,4.9
181,Felipe Carrillo Puerto,MX,2021-02-06 01:05:22,19.5833,-88.05,71.15,91,0,3.24
182,Zhangjiakou,CN,2021-02-06 01:05:22,40.81,114.8794,26.28,82,55,5.19
183,Kavieng,PG,2021-02-06 00:59:35,-2.5744,150.7967,83.3,72,73,4.05
184,Aktash,RU,2021-02-06 01:05:22,50.3,87.7333,7.66,95,100,4.27
185,Visnes,NO,2021-02-06 01:02:10,59.3556,5.2242,23.0,73,1,5.75
186,Torbay,CA,2021-02-06 00:59:37,47.6666,-52.7314,36.0,100,90,25.32
187,Dingle,PH,2021-02-06 00:59:50,10.9995,122.6711,80.94,80,81,12.19
188,Sambava,MG,2021-02-06 01:05:22,-14.2667,50.1667,75.85,86,84,4.99
189,Kruisfontein,ZA,2021-02-06 00:59:39,-34.0033,24.7314,71.01,87,81,4.0
190,Narsaq,GL,2021-02-06 00:59:47,60.9167,-46.05,17.6,45,0,3.44
191,Kieta,PG,2021-02-06 00:57:10,-6.2167,155.6333,87.26,60,0,8.41
192,Kodiak,US,2021-02-06 00:57:09,57.79,-152.4072,39.2,65,75,14.97
193,Fairbanks,US,2021-02-06 01:05:23,64.8378,-147.7164,-2.2,65,90,2.91
194,Jalu,LY,2021-02-06 01:05:23,29.0331,21.5482,52.16,65,0,2.77
195,Los Llanos De Aridane,ES,2021-02-06 00:59:45,28.6585,-17.9182,62.6,51,0,17.27
196,Flin Flon,CA,2021-02-06 00:57:18,54.7682,-101.865,-18.4,69,1,13.8
197,Koutsouras,GR,2021-02-06 01:05:23,35.0339,25.9469,55.99,86,0,3.38
198,Grajau,BR,2021-02-06 01:05:23,-5.8194,-46.1386,74.37,93,97,2.46
199,Willmar,US,2021-02-06 01:00:49,45.1219,-95.0433,6.8,72,1,18.41
200,Buchanan,LR,2021-02-06 01:05:23,5.8808,-10.0467,77.0,94,20,6.6
201,Camana,PE,2021-02-06 01:00:28,-16.6228,-72.7111,70.83,78,84,2.73
202,Rawson,AR,2021-02-06 00:59:37,-43.3002,-65.1023,63.52,64,0,25.34
203,Nyurba,RU,2021-02-06 01:05:24,63.2842,118.3319,-40.72,80,28,4.05
204,Moron,AR,2021-02-06 01:02:25,-34.6534,-58.6198,73.0,72,0,3.0
205,Beringovskiy,RU,2021-02-06 00:59:30,63.05,179.3167,-3.62,88,100,7.96
206,Bend,US,2021-02-06 01:05:24,44.0582,-121.3153,48.2,37,1,4.61
207,Pisco,PE,2021-02-06 00:59:46,-13.7,-76.2167,71.6,83,0,13.8
208,Quthing,LS,2021-02-06 01:05:24,-30.4,27.7003,63.05,71,0,1.97
209,Meulaboh,ID,2021-02-06 01:05:24,4.1363,96.1285,77.68,83,46,3.96
210,Comodoro Rivadavia,AR,2021-02-06 01:05:24,-45.8667,-67.5,59.0,67,0,12.66
211,Namibe,AO,2021-02-06 00:59:52,-15.1961,12.1522,70.65,80,86,6.55
212,Karla,EE,2021-02-06 01:05:25,59.3723,24.9275,12.0,79,75,9.22
213,Pahrump,US,2021-02-06 01:05:25,36.2083,-115.9839,63.0,19,0,3.58
214,Birao,CF,2021-02-06 01:02:10,10.2849,22.7882,68.2,24,9,13.38
215,Salalah,OM,2021-02-06 00:55:03,17.0151,54.0924,71.6,64,20,5.75
216,Hay River,CA,2021-02-06 01:00:32,60.8156,-115.7999,-23.8,69,100,4.61
217,Cabedelo,BR,2021-02-06 00:59:14,-6.9811,-34.8339,78.8,83,20,4.61
218,Kaitangata,NZ,2021-02-06 00:59:32,-46.2817,169.8464,62.01,71,91,8.01
219,Shimoda,JP,2021-02-06 01:00:04,34.6667,138.95,55.4,41,75,13.8
220,Akureyri,IS,2021-02-06 01:00:31,65.6835,-18.0878,32.0,64,20,4.61
221,Kendari,ID,2021-02-06 01:05:25,-3.945,122.4989,84.81,71,28,0.51
222,Tavda,RU,2021-02-06 01:05:26,58.0425,65.2726,35.35,97,100,10.16
223,Paamiut,GL,2021-02-06 00:59:19,61.994,-49.6678,21.29,77,0,5.88
224,Union City,US,2021-02-06 01:04:45,37.5958,-122.0192,60.01,62,1,10.36
225,Luderitz,NA,2021-02-06 00:59:25,-26.6481,15.1594,70.23,51,0,21.12
226,Portland,US,2021-02-06 00:58:57,45.5234,-122.6762,52.0,76,75,3.44
227,Anqiu,CN,2021-02-06 01:05:11,36.4342,119.1925,48.65,46,0,10.45
228,Vila Velha,BR,2021-02-06 01:05:26,-20.3297,-40.2925,82.4,74,75,10.36
229,Ikalamavony,MG,2021-02-06 01:05:26,-21.15,46.5833,70.12,84,100,3.18
230,Neiafu,TO,2021-02-06 01:01:10,-18.65,-173.9833,80.6,89,75,10.36
231,Plettenberg Bay,ZA,2021-02-06 00:59:43,-34.0527,23.3716,67.46,90,0,5.14
232,Stubbekobing,DK,2021-02-06 01:05:26,54.8887,12.041,32.0,77,100,8.01
233,Curup,ID,2021-02-06 01:05:27,-3.4667,102.5333,71.26,87,88,3.69
234,Keuruu,FI,2021-02-06 01:05:27,62.2667,24.7,6.8,92,20,6.91
235,Westport,US,2021-02-06 00:58:29,41.1415,-73.3579,37.99,93,1,3.44
236,Russell,US,2021-02-06 00:59:26,32.3502,-85.1999,51.8,37,75,5.75
237,Muros,ES,2021-02-06 00:59:44,42.7762,-9.0603,51.01,75,93,5.99
238,Atherton,GB,2021-02-06 01:05:27,53.5237,-2.4935,44.01,85,100,1.99
239,Nanortalik,GL,2021-02-06 00:57:13,60.1432,-45.2371,20.21,73,0,3.69
240,Tevaitoa,PF,2021-02-06 01:05:27,-16.7833,-151.5,81.55,63,0,4.41
241,Fortuna,US,2021-02-06 01:05:27,40.5982,-124.1573,51.01,93,90,12.66
242,Morondava,MG,2021-02-06 01:05:27,-20.2833,44.2833,81.14,82,90,6.22
243,Alofi,NU,2021-02-06 01:00:34,-19.0595,-169.9187,78.8,89,100,13.8
244,Miajadas,ES,2021-02-06 01:05:28,39.1513,-5.9084,48.0,94,100,5.01
245,Liverpool,GB,2021-02-06 01:04:29,53.4106,-2.9779,42.8,93,90,3.44
246,Joao Pinheiro,BR,2021-02-06 01:05:28,-17.7425,-46.1725,73.06,89,100,3.27
247,Ostrovnoy,RU,2021-02-06 00:57:04,68.0531,39.5131,15.35,92,100,10.29
248,Ciudad Guayana,VE,2021-02-06 01:04:46,8.3533,-62.6528,76.62,75,98,9.28
249,Balabac,PH,2021-02-06 01:05:28,7.9868,117.0645,81.36,78,100,9.17
250,Katangli,RU,2021-02-06 01:05:28,51.7102,143.2326,-1.52,89,95,10.25
251,Rebrikha,RU,2021-02-06 01:05:28,53.0733,82.3408,21.18,98,75,6.67
252,Naduvattam,IN,2021-02-06 01:05:28,11.4833,76.5667,50.86,97,2,2.26
253,Manaure,CO,2021-02-06 01:05:28,11.7751,-72.4445,79.5,66,96,15.5
254,Oktyabrskiy,RU,2021-02-06 01:05:29,54.4815,53.471,26.15,97,100,10.98
255,Kirakira,SB,2021-02-06 01:00:34,-10.4544,161.9205,82.85,77,100,8.41
256,Takoradi,GH,2021-02-06 00:59:25,4.8845,-1.7554,79.41,88,0,10.49
257,Araceli,PH,2021-02-06 01:05:29,10.5529,119.9913,80.69,82,100,18.95
258,Lavrentiya,RU,2021-02-06 00:59:15,65.5833,-171.0,3.65,93,100,13.38
259,Bay Saint Louis,US,2021-02-06 01:05:29,30.3088,-89.33,46.4,93,90,6.91
260,Ishigaki,JP,2021-02-06 01:05:29,24.3448,124.1572,69.8,78,20,1.14
261,Harper,LR,2021-02-06 00:56:23,4.375,-7.7169,79.14,89,0,8.39
262,Richards Bay,ZA,2021-02-06 01:05:29,-28.783,32.0377,75.27,90,84,1.25
263,Timra,SE,2021-02-06 01:05:30,62.487,17.3257,15.01,85,4,10.36
264,Okhotsk,RU,2021-02-06 00:59:27,59.3833,143.3,0.7,86,100,7.4
265,Shaki,AZ,2021-02-06 01:05:30,41.0833,47.1667,48.2,49,40,20.71
266,Berlevag,NO,2021-02-06 00:58:08,70.8578,29.0864,26.78,93,100,21.16
267,Havoysund,NO,2021-02-06 01:00:41,70.9963,24.6622,28.4,80,75,12.66
268,Saint George,US,2021-02-06 00:59:23,37.1041,-113.5841,57.2,23,1,17.27
269,Gamba,GA,2021-02-06 00:59:44,-2.65,10.0,78.44,87,100,5.1
270,Kahului,US,2021-02-06 00:59:46,20.8947,-156.47,75.2,57,40,10.36
271,Nantucket,US,2021-02-06 01:00:27,41.2835,-70.0995,42.01,100,90,8.05
272,Roald,NO,2021-02-06 01:01:24,62.5833,6.1333,26.6,63,20,6.91
273,Pedregulho,BR,2021-02-06 01:05:31,-20.2569,-47.4767,66.24,99,2,2.28
274,Licata,IT,2021-02-06 01:05:31,37.1071,13.9461,46.0,87,0,4.61
275,Nome,US,2021-02-06 00:59:35,64.5011,-165.4064,15.8,79,90,25.32
276,Hasaki,JP,2021-02-06 00:57:24,35.7333,140.8333,50.0,61,20,3.44
277,Pokrovskoye,RU,2021-02-06 01:05:31,47.4157,38.8971,24.01,74,0,13.0
278,Khanpur,PK,2021-02-06 01:05:31,28.6453,70.6567,49.75,53,0,4.45
279,Bandarbeyla,SO,2021-02-06 01:05:31,9.4942,50.8122,73.26,71,0,8.19
280,Itoman,JP,2021-02-06 01:00:25,26.1247,127.6694,71.6,60,20,9.22
281,Kaeo,NZ,2021-02-06 01:05:31,-35.1,173.7833,69.87,69,100,5.91
282,Armenia,AM,2021-02-06 01:05:27,40.0,45.0,30.2,93,94,2.3
283,Camacha,PT,2021-02-06 01:05:32,33.0833,-16.3333,57.2,67,40,17.27
284,Rapid Valley,US,2021-02-06 01:05:32,44.0625,-103.1463,24.8,63,90,5.75
285,Bengkulu,ID,2021-02-06 00:59:20,-3.8004,102.2655,78.89,76,89,4.79
286,Norman Wells,CA,2021-02-06 00:59:19,65.282,-126.8329,-29.2,68,20,4.61
287,Ribeira Grande,PT,2021-02-06 00:59:31,38.5167,-28.7,59.2,84,100,12.73
288,Bousse,BF,2021-02-06 01:05:32,12.6606,-1.8922,78.8,19,0,6.91
289,Alpinopolis,BR,2021-02-06 01:05:32,-20.8636,-46.3881,68.76,94,97,3.96
290,Buala,SB,2021-02-06 00:59:44,-8.145,159.5921,86.5,65,3,10.56
291,Bereda,ES,2021-02-06 01:05:32,43.2686,-7.5406,46.0,100,100,11.99
292,Chagoda,RU,2021-02-06 01:05:32,59.164,35.3285,2.97,92,100,8.32
293,Ahuimanu,US,2021-02-06 01:05:33,21.4447,-157.8378,75.2,60,75,11.5
294,Hualmay,PE,2021-02-06 00:59:36,-11.0964,-77.6139,70.11,81,91,8.05
295,Bahia Blanca,AR,2021-02-06 01:05:33,-38.7196,-62.2724,85.03,15,0,7.7
